country_code,date,cpi,exports_usd,fx,imports_usd,money_market_rate,mprice_ix,policy_rate,reserves_exgold_usd,reserves_total_usd,shock_ix,shock_rw_ix,xprice_ix,log_shock,d_shock_1m,d_shock_12m,shock_pos,shock_neg,log_shock_rw,d_shock_rw_1m,d_shock_rw_12m,shock_rw_pos,shock_rw_neg,bust,log_cpi,infl_yoy,infl_mom,log_fx,d_log_fx_1m,d_log_fx_12m,fx_vol_12m,state_peg,log_exports_usd,d_log_exports_usd_12m,log_imports_usd,d_log_imports_usd_12m,log_reserves,d_log_reserves_12m,d_log_reserves_1m,log_reserves_total,d_policy_rate_12m,d_policy_rate_1m,d_mm_rate_12m,rate_level,d_rate_12m,d_rate_1m,monthly_imports_approx,reserves_months,low_buffer
CHL,2013-11-01,64.03448820453931,6044012780.0,519.25,6057896015.0,4.65,100.491966247559,4.78170254131676,39902722647.42489,39902712458.54489,100.206474304199,99.8723220825195,100.699417114258,4.607232800377743,0.0006806656680788947,-0.0013720322107486638,0.0,-0.0013720322107486638,4.6038925910363035,-0.00021868489499698995,-0.004886872616008731,0.0,-0.004886872616008731,0.0,4.159421816412884,2.3446477211688688,0.365329497125888,6.252385462756222,0.03595521593140383,0.07741256337472002,0.019065691814622573,0.0,22.52233399584838,-0.07651644942442459,22.52462838449823,-0.08554382375753988,24.40971039529177,0.004623088866779312,-0.02249343004356774,24.40971013994876,-1.0063999017453593,-0.3763669015948796,-0.35999999999999943,4.78170254131676,-1.0063999017453593,-0.3763669015948796,504824667.9166667,79.0427353958301,0.0
CHL,2013-12-01,64.41864993826847,6250508737.0,529.45,6577182120.0,4.5,100.622581481934,4.6565215684566,41093252538.75896,41093379358.90896,100.517127990723,100.191123962402,101.14289855957,4.610328140746356,0.003095340368612476,-0.003840439448773658,0.0,-0.003840439448773658,4.607079601517479,0.003187010481175534,-0.008756613619624432,0.0,-0.008756613619624432,0.0,4.165403186500407,2.966872409189758,0.5981370087522642,6.271838731876463,0.019453269120241146,0.10404974143186774,0.018883672929214734,0.0,22.55592869530209,-0.12779802782295846,22.606872241318623,-0.06722335780319355,24.43910977316458,-0.01343957479437563,0.029399377872810106,24.4391128593149,-1.3845614703129607,-0.12518097286016072,-0.4900000000000002,4.6565215684566,-1.3845614703129607,-0.12518097286016072,548098510.0,74.9742095426586,0.0
CHL,2014-01-01,64.53163868348292,5490446246.0,537.029545454545,6461617637.0,4.49,100.482902526856,4.53147769825524,40001294649.03434,40001276432.86434,100.829704284668,100.596427917481,101.316581726074,4.613432997589834,0.0031048568434783874,-0.004324791099969083,0.0,-0.004324791099969083,4.611116749256704,0.0040371477392247,-0.008779751693113624,0.0,-0.008779751693113624,0.0,4.16715562575957,2.9616000095356476,0.1752439259163019,6.286053112463776,0.014214380587312725,0.1276556418785013,0.018041797235119818,0.0,22.42627537258894,-0.21364379719886983,22.589145531598355,-0.08601572786505685,24.41217765676243,0.0011936542681496576,-0.02693211640215054,24.412177201372817,-1.1303420211534503,-0.12504387020135965,-0.5099999999999998,4.53147769825524,-1.1303420211534503,-0.12504387020135965,538468136.4166666,74.28720836711003,0.0
CHL,2014-02-01,64.8480071700834,6188507800.0,554.41,5732070375.0,4.4,100.608123779297,4.28180071986151,39975450709.12102,39975548606.62102,100.55241394043,100.146759033203,101.163864135742,4.610679123294288,-0.00275387429554641,-0.006665492989326616,0.0,-0.006665492989326616,4.606636700461914,-0.004480048794789582,-0.01315507114605552,0.0,-0.01315507114605552,0.0,4.17204618045348,3.3425018903033177,0.48905546939099764,6.317904485231057,0.03185137276728067,0.1602054199820513,0.018620065647771154,0.0,22.545959828345914,0.10704879791460442,22.469342624401516,-0.06783112574990824,24.411531370377627,0.016277044103112814,-0.0006462863848035738,24.411533819315125,-1.1278680125003104,-0.2496769783937305,-0.6099999999999994,4.28180071986151,-1.1278680125003104,-0.2496769783937305,477672531.25,83.687983071815,0.0
CHL,2014-03-01,65.39035314711279,7291701743.0,563.647368421053,5996324745.0,4.11,100.613128662109,4.1571673389913,40869637446.03936,40869712137.47936,99.6329498291016,98.968879699707,100.243782043457,4.601492931458486,-0.009186191835802049,-0.011959209481556599,0.0,-0.011959209481556599,4.5948054542497765,-0.011831246212137714,-0.018937802045425833,0.0,-0.018937802045425833,0.0,4.180374742187333,3.791756538394697,0.8328561733853768,6.334428822662207,0.016524337431150116,0.1764122399735344,0.018171163595294523,0.0,22.71000279097898,0.1680944887913256,22.514412575993664,-0.011071420081439243,24.433653263576456,0.025689985115178615,0.022121893198828957,24.433655091128067,-1.2525013933705198,-0.12463338087020936,-0.8899999999999997,4.1571673389913,-1.2525013933705198,-0.12463338087020936,499693728.75,81.78937435992259,0.0
CHL,2014-04-01,65.79711262988484,6669350794.0,554.640952380952,6194784028.0,4.0,100.633575439453,4.03267051542395,40281973237.10108,40282097427.76108,99.6316833496094,98.9722442626953,100.262886047363,4.601480219925365,-1.2711533121212426e-05,-0.008604778959343307,0.0,-0.008604778959343307,4.594839449843227,3.3995593450519834e-05,-0.012721750512501018,0.0,-0.012721750512501018,0.0,4.186575956363682,4.891610226529952,0.6201214176348557,6.318320971748281,-0.01610785091392586,0.161045419973334,0.019824581568210754,0.0,22.62078835990297,-0.012236046584231275,22.5469734891115,-0.09117123096592294,24.419169891608345,-0.02318899475430669,-0.014483371968111669,24.419172974636773,-0.9998058262915599,-0.12449682356735003,-1.0099999999999998,4.03267051542395,-0.9998058262915599,-0.12449682356735003,516232002.3333333,78.03075565836546,0.0
CHL,2014-05-01,66.02309012031374,6905934303.0,556.1045,5785169433.0,4.0,100.64786529541,4.03267051542395,40903509846.02657,40903594811.23657,99.8072128295898,99.2096557617188,100.453788757324,4.603240453547444,0.0017602336220789994,-0.008031910573704337,0.0,-0.008031910573704337,4.5972353458616055,0.0023958960183785294,-0.011683223023505995,0.0,-0.011683223023505995,0.0,4.19000453115086,5.246490548664706,0.34285747871782846,6.32095622623055,0.0026352544822687562,0.14804550536456684,0.02004650668856211,0.0,22.655646922836816,-0.009965334047478791,22.478563485495048,-0.2036647947836414,24.43448171161952,0.018651023020897384,0.015311820011174149,24.4344837888281,-0.8743502380566195,0.0,-1.0199999999999996,4.03267051542395,-0.8743502380566195,0.0,482097452.75,84.8448993304219,0.0
CHL,2014-06-01,66.05322045237094,6125138248.0,553.06,5987771111.0,4.0,100.697471618652,4.03267051542395,41087215926.37354,41087287551.36354,99.5618057250977,98.7695999145508,100.25617980957,4.600778614388932,-0.002461839158511836,-0.005351575125820851,0.0,-0.005351575125820851,4.592789864234002,-0.004445481627603165,-0.009221958022476606,0.0,-0.009221958022476606,0.0,4.190460787574881,4.656889029583411,0.04562564240204736,6.315466494732575,-0.005489731497974937,0.09509503642127815,0.017244154292373148,0.0,22.53566716422452,-0.02910123273420595,22.512985078157314,-0.022081875438555443,24.438962862043024,0.002067182171582971,0.004481150423504943,24.438964605284223,-1.1253989274876899,0.0,-1.0,4.03267051542395,-1.1253989274876899,0.0,498980925.9166667,82.34225757406085,0.0
CHL,2014-07-01,66.21140469567116,6257552143.0,558.21,6449040862.0,4.0,100.542907714844,4.03267051542395,40368934492.72296,40369058546.64296,100.205726623535,99.6629333496094,100.749702453613,4.607225338949142,0.006446724560210448,0.005245279342553033,0.005245279342553033,0.0,4.601793825990332,0.00900396175632956,0.004586395847712588,0.004586395847712588,0.0,0.0,4.192852724474748,4.633584060308937,0.23919368998672752,6.32473523566766,0.00926874093508534,0.10099199004937987,0.01718654432331044,0.0,22.55705491411603,-0.019503415897887066,22.58719725313073,-0.07563001649521084,24.42132637792128,0.006958230718677072,-0.0176364841217449,24.421329450921125,-1.25112967865791,0.0,-1.0300000000000002,4.03267051542395,-1.25112967865791,0.0,537420071.8333334,75.11616444657527,0.0
CHL,2014-08-01,66.42231702007147,5857645051.0,579.05,5983671284.0,3.63,100.354682922363,3.65999802881301,40296618472.82287,40296718732.91287,100.038063049316,99.5023498535156,100.392837524414,4.605550744059841,-0.0016745948893008844,-0.0018764145327381243,0.0,-0.0018764145327381243,4.600181260503926,-0.0016125654864058703,-0.004173010440604585,0.0,-0.004173010440604585,0.0,4.196033099713408,4.713582909529279,0.3180375238660105,6.361388829630386,0.03665359396272638,0.12191531125022603,0.018965354563337238,0.0,22.49101349133454,-0.08825142177584766,22.51230014362311,-0.17695836579433788,24.419533393515547,-0.00943490460675278,-0.0017929844057320565,24.419535881564645,-1.6238021652688501,-0.3726724866109401,-1.37,3.65999802881301,-1.6238021652688501,-0.3726724866109401,498639273.6666667,80.81316615217234,0.0
CHL,2014-09-01,66.97972816312947,5775760398.0,593.47,5795979112.0,3.35,100.139266967773,3.53604607534075,40086994148.50804,40087065884.74804,99.8399353027344,99.3074340820313,99.9789352416992,4.603568256611436,-0.0019824874484051236,-0.0004004938305897099,0.0,-0.0004004938305897099,4.598220433123326,-0.0019608273805999943,-0.0024984082879546676,0.0,-0.0024984082879546676,0.0,4.204390008879613,5.0039257051653685,0.8356909166204574,6.385986665173161,0.024597835542774504,0.16266552467633488,0.017410267249959397,0.0,22.4769357553358,-0.0036379104781509852,22.48043025753362,-0.06425131975674248,24.41431778320214,-0.053791405011722304,-0.005215610313406671,24.414319572714607,-1.7477541187411103,-0.12395195347226018,-1.65,3.53604607534075,-1.7477541187411103,-0.12395195347226018,482998259.3333333,82.99614620524473,0.0
CHL,2014-10-01,67.6727258004448,6073247593.0,589.177727272727,6152528400.0,3.15,99.7645416259766,3.65999802881301,39810552470.59913,39811068735.54913,99.9498672485352,99.5331268310547,99.7144775390625,4.60466873276679,0.0011004761553534692,-0.0018834019428748405,0.0,-0.0018834019428748405,4.600490521730086,0.0022700886067603676,-0.0036207542012141047,0.0,-0.0036207542012141047,0.0,4.214683230213804,5.89147087721793,1.029322133419175,6.378727882232304,-0.007258782940857245,0.16229763540748543,0.017449822909570742,0.0,22.52715932250223,-0.1362304243157979,22.540128956228582,-0.14439966843949747,24.40739785154632,-0.024805973789018054,-0.006919931655819056,24.407410819505078,-1.49807141409863,0.12395195347226018,-1.7500000000000004,3.65999802881301,-1.49807141409863,0.12395195347226018,512710700.0,77.64720430176146,0.0
CHL,2014-11-01,67.6953235494877,5587867218.0,592.4595,5670006454.0,3.01,99.4315414428711,3.53604607534075,39910945853.2084,39911087706.3284,100.408554077148,100.096168518066,99.8377227783203,4.609247403599911,0.0045786708331210235,0.0020146032221672883,0.0020146032221672883,0.0,4.606131409045812,0.005640887315725429,0.0022388180095083143,0.0022388180095083143,0.0,0.0,4.215017101453899,5.5595285041015075,0.0333871240094652,6.384282516242636,0.005554634010332293,0.1318970534864139,0.016047779229017026,0.0,22.443863516068827,-0.07847047977955413,22.45845609295703,-0.06617229154119997,24.409916455380653,0.00020606008888179872,0.0025186038343321115,24.409920009615334,-1.2456564659760105,-0.12395195347226018,-1.6400000000000006,3.53604607534075,-1.2456564659760105,-0.12395195347226018,472500537.8333333,84.46751412436765,0.0
CHL,2014-12-01,67.4166179779587,6837342050.0,612.919,6627704451.0,3.0,98.6233367919922,3.53604607534075,40447379051.66868,40447263788.48868,100.839447021484,100.836776733398,99.4511795043945,4.613529618582787,0.004282214982876731,0.0032014778364315433,0.0032014778364315433,0.0,4.613503137641837,0.0073717285960253065,0.006423536124358087,0.006423536124358087,0.0,0.0,4.210891545064427,4.548835856402,-0.4125556389472429,6.41823279017435,0.03395027393171368,0.14639405829788643,0.0172438021936893,0.0,22.645664903879243,0.08973620857715403,22.61452434453885,0.0076521032202272465,24.423267683584488,-0.0158420895800937,0.013351228203834609,24.423264833873407,-1.1204754931158498,0.0,-1.5,3.53604607534075,-1.1204754931158498,0.0,552308704.25,73.23328193169368,0.0
CHL,2015-01-01,67.46181347604448,5979724535.0,621.333684210526,5384784418.0,3.0,97.7657852172852,3.41223000022235,39956655795.14367,39956772900.39367,100.371879577637,100.587692260742,98.1292953491211,4.608882084138734,-0.004647534444053747,-0.004550913451100591,0.0,-0.004550913451100591,4.611029906848499,-0.002473230793338388,-8.684240820500122e-05,0.0,-8.684240820500122e-05,0.0,4.211561711514171,4.440608575460114,0.06701664497441584,6.431868271293779,0.013635481119429471,0.14581515883000318,0.017238461837138876,0.0,22.511640339466684,0.08536496687774431,22.406843112955805,-0.18230241864254992,24.411061098414443,-0.0011165583479879615,-0.012206585170044804,24.411064029217233,-1.1192476980328903,-0.12381607511840009,-1.4900000000000002,3.41223000022235,-1.1192476980328903,-0.12381607511840009,448732034.8333333,89.04346624146022,0.0
CHL,2015-02-01,67.70285613250198,5122305118.0,623.6175,4804181250.0,3.0,98.2198715209961,3.28854966803307,38032322118.29524,38032324282.85524,99.5784301757813,99.5052719116211,97.8057479858398,4.600945576636887,-0.007936507501846712,-0.009733546657400893,0.0,-0.009733546657400893,4.6002106267973355,-0.010819280051163283,-0.006426073664578702,0.0,-0.006426073664578702,0.0,4.215128367100745,4.308218664726571,0.3566655586574541,6.435537199650675,0.0036689283568955844,0.11763271441961809,0.01619898539654098,0.0,22.356870393039326,-0.18908943530658817,22.292752469428283,-0.17659015497323338,24.361702217193276,-0.04982915318435133,-0.04935888122116694,24.36170227410697,-0.9932510518284396,-0.12368033218927987,-1.4000000000000004,3.28854966803307,-0.9932510518284396,-0.12368033218927987,400348437.5,94.99805308543321,0.0
CHL,2015-03-01,68.12468078130262,6001737789.0,628.503181818182,5486616718.0,3.0,98.0557098388672,3.41223000022235,38421944677.7398,38421979525.4698,99.95458984375,100.102798461914,98.0111236572266,4.604715981290253,0.0037704046533661995,0.003223049831767355,0.003223049831767355,0.0,4.606197642592872,0.005987015795536621,0.011392188343095633,0.011392188343095633,0.0,0.0,4.221339567193386,4.0964825006052585,0.6211200092640645,6.44334109057625,0.0078038909255750966,0.10891226791404307,0.016065084979317214,0.0,22.515314895739362,-0.1946878952396176,22.425577639840586,-0.08883493615307714,24.371894609292685,-0.061758654283771364,0.01019239209940892,24.371895516266928,-0.7449373387689504,0.12368033218927987,-1.1100000000000003,3.41223000022235,-0.7449373387689504,0.12368033218927987,457218059.8333333,84.03417986539179,0.0
CHL,2015-04-01,68.52390768106036,5800554187.0,614.805909090909,5075670832.0,3.0,98.2653427124023,3.41223000022235,38818120175.21642,38818394911.50642,99.9909133911133,100.119163513184,98.2563629150391,4.605079315770651,0.00036333448039815863,0.003599095845286726,0.003599095845286726,0.0,4.606361111686322,0.00016346909344999716,0.01152166184309511,0.01152166184309511,0.0,0.0,4.227182701617587,4.060674525390517,0.5843134424201146,6.421306623021812,-0.022034467554437498,0.10298565127353143,0.016975020560055534,0.0,22.48121929941698,-0.13956906048598938,22.347724536784096,-0.19924895232740525,24.38215298938332,-0.037016902225023074,0.01025838009063662,24.38216006688518,-0.6204405152016004,0.0,-1.0,3.41223000022235,-0.6204405152016004,0.0,422972569.3333333,91.77455700354153,0.0
